name,description,image_url,zone,type,serial_numbers,unit_count
Hi-Spec 16 Piece Metal Hand & Needle Files Tool Set Kit,,,Woodshop,Tool,,1
Husky Coping Saw,,,Woodshop,Tool,,1
IFIXIT Precision Screwdriver Kit,,,Woodshop,Tool,,1
Kobalt 10-Piece Variety Pack Screwdriver Set 63104,,,Woodshop,Tool,,1
Large Wood Mallet,Good for striking chisels and used to tap joints together.,https://drive.google.com/thumbnail?id=1fPwCjuXRTfiyG6RAL_Y_WJ43nfwSY5jK&sz=w400,Woodshop,Tool,,1
MAKITA  Palm Sander RT0701C,,,Woodshop,Tool,,1
MAKITA  Plunge Bass,,,Woodshop,Tool,,1
Marples Dovetail Pull Saw 7-Inch blade,"Useful for fine, clean, straight cuts in small pieces of wood.",https://drive.google.com/thumbnail?id=1fEpT11zIeRftNgY9BiNQogJgnIl1m91A&sz=w400,Woodshop,Tool,,1
Marples MPS10189 Japanese Style Pull Saw,"ONLY cuts when pulled towards you, giving clean, smooth, and precise cuts in wood. Use for small-medium sized wood.",https://drive.google.com/thumbnail?id=1-atAQ33y9uU3SGEa0mchsMp6935XDYW5&sz=w400,Woodshop,Tool,,1
Metal Snips,"Good for cutting sheet metal and other tough, thin materials such as aluminum, wire mesh, or thin plastics.",https://drive.google.com/thumbnail?id=1rJpRWBchTSfd-wxaRazcxo5z3cJ3UcVe&sz=w400,Woodshop,Tool,,1
Micro Cutters,"Used to trim excess wire, plastic parts, or thin wires. Intended for soft/small-gauge materials like copper wire or plastic.",https://drive.google.com/thumbnail?id=1Pesj3U-caHENGMPbKvUn5WwCTtx1GYa5&sz=w400,Woodshop,Tool,,1
Narex Chisel Set,,,Woodshop,Tool,,1
Plunge Cut Track Saw TS 55 REQ-F-Plus,,,Woodshop,Tool,,1
Plywood Stacking Rolling Cart,,,Woodshop,Tool,,1
RYOBI Nail Gun,,,Woodshop,Tool,,1
RYOBI P209D Drill Driver,"Useful for drilling holes in wood, plastic, and thin metal as well as putting in or taking out screws (lower speed). Zone: Woodshop",https://drive.google.com/thumbnail?id=1-Tem41i_DnfqdmJHUqjKnL8rT6iqduW8&sz=w400,Woodshop,Tool,,1
RYOBI P305 ONE+ 18V Lithium Ion Cordless Hot Glue Gun,,,Woodshop,Tool,,1
